THE,0001000001
AND,00010100111
TO,00010101110
OF,00010111100
A,000110110011
HE,000110011101
IN,000110011001
HIS,000110001010
THAT,000110010010
WAS,000110110100
WITH,0001110110111
HAD,0001110101011
IT,0001110010011
HER,0001111110101
NOT,0001111010101
HIM,0001111000101
AT,0001110000101
I,0001111110110
BUT,0001111011010
ON,0001110011010
AS,0001110101010
YOU,0001111010100
FOR,0001110111000
SHE,0001111101000
IS,0001110110000
SAID,00100001010111
ALL,00100000111011
FROM,00100000011011
BE,00100000111101
WERE,00100010101101
BY,00100001001101
WHAT,00100000010101
THEY,00100011001001
WHO,00100001111110
THIS,00100011011110
ONE,00100000000110
WHICH,00100010111010
HAVE,00100001110010
PRINCE,00100011101100
SO,00100001001100
PIERRE,00100010000100
AN,00100010100000
OR,001001111111111
UP,001001110111111
THEM,001001001101111
WHEN,001001000101111
DID,001001011001111
BEEN,001001101001111
THERE,001001111110111
THEIR,001001001110111
NO,001001001111011
WOULD,001001001011011
NOW,001001000001011
IF,001001111010011
ONLY,001001001010011
ARE,001001011000011
ME,001001110000011
OUT,001001111101101
MY,001001011101101
COULD,001001100111001
NATASHA,001001101101001
MAN,001001000001001
WILL,001001111111110
MORE,001001100111110
DO,001001101011110
ANDREW,001001100011110
ABOUT,001001011111010
HIMSELF,001001001111010
INTO,001001111101010
HOW,001001001101010
WE,001001101000010
ITS,001001010000010
THEN,001001110101100
TIME,001001010001100
PRINCESS,001001110010100
FACE,001001100000100
FRENCH,001001111011000
WENT,001001010011000
SOME,001001111001000
KNOW,001001101001000
AFTER,001001010001000
BEFORE,001001001010000
EYES,001001010010000
YOUR,001001011100000
OLD,001001111000000
VERY,001001011000000
ROOM,0010100000011111
THOUGHT,0010100111101111
MEN,0010100011101111
GO,0010100010101111
WELL,0010101010001111
LIKE,0010100010001111
CHAPTER,0010101100001111
SEE,0010101000001111
ROSTOV,0010101111010111
BEGAN,0010100111010111
MOSCOW,0010100110010111
HAS,0010101011111011
AGAIN,0010101101111011
DOWN,0010100010111011
CAME,0010101110011011
COME,0010101010011011
WITHOUT,0010101001101011
ASKED,0010100111001011
STILL,0010101011001011
SAME,0010100101001011
THOSE,0010100100001011
COUNT,0010101011010011
LOOKED,0010100101010011
ARMY,0010100111100011
SAY,0010100101000011
FELT,0010100010000011
NICHOLAS,0010100100000011
OUR,0010100111111101
FIRST,0010100101111101
WHERE,0010101110111101
AWAY,0010101010111101
MARY,0010100010111101
LEFT,0010100000101101
ANOTHER,0010100111001101
OVER,0010101110001101
SOMETHING,0010100110001101
SUCH,0010100000001101
THESE,0010101110110101
LIFE,0010100110110101
TWO,0010100010110101
OTHER,0010101110010101
SEEMED,0010100010010101
HEAD,0010100011111001
JUST,0010100101111001
LITTLE,0010101000111001
YES,0010101011101001
AM,0010101001101001
DAY,0010101000101001
WHY,0010100110001001
HAND,0010101010001001
THAN,0010100010001001
WHOLE,0010100100001001
DONT,0010100010111110
PEOPLE,0010101001011110
EMPEROR,0010101110011110
SHOULD,0010101000011110
BACK,0010100110110110
LONG,0010100010000110
EVEN,0010101000111010
ANY,0010101011101010
OWN,0010101101101010
HEARD,0010100101101010
WAY,0010101010110010
BECAUSE,0010101111100010
HAVING,0010100111100010
GENERAL,0010101011100010
COUNTESS,0010101101100010
MUST,0010101001100010
NAPOLEON,0010100001000010
LOOK,0010101110000010
HERE,0010100110000010
